2016-10-24 17:42:24.809285|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2016-10-24 17:42:48.865661|INFO    |VirtualServer |1  |servergroup 'Super Server Admin'(id:31) was renamed to 'Dios' by 'Igna'(id:2)
2016-10-24 17:44:31.115509|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:-1324497581, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Dios'(id:31)
2016-10-24 17:48:43.481944|INFO    |VirtualServer |1  |client (id:2) was added to servergroup 'Server Admin'(id:6) by client 'Igna'(id:2)
2016-10-24 17:49:09.932456|INFO    |VirtualServer |1  |client (id:2) was removed from servergroup 'Dios'(id:31) by client 'Igna'(id:2)
2016-10-24 17:56:48.364677|INFO    |VirtualServer |1  |servergroup 'Egg Bender'(id:25) was copied by 'Igna'(id:2) to 'Banco del TS'(id:32)
2016-10-24 17:57:33.303248|INFO    |VirtualServer |1  |permission 'i_group_member_add_power'(id:163) with values (value:75, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Banco del TS'(id:32)
2016-10-24 17:57:38.045519|INFO    |VirtualServer |1  |permission 'i_group_member_remove_power'(id:165) with values (value:75, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Banco del TS'(id:32)
2016-10-24 17:57:46.120981|INFO    |VirtualServer |1  |permission 'i_group_member_remove_power'(id:165) was deleted by 'Igna'(id:2) from servergroup 'Banco del TS'(id:32)
2016-10-24 17:57:47.923084|INFO    |VirtualServer |1  |permission 'i_group_needed_member_remove_power'(id:166) with values (value:75, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Banco del TS'(id:32)
2016-10-24 17:57:52.736359|INFO    |VirtualServer |1  |permission 'i_group_member_add_power'(id:163) was deleted by 'Igna'(id:2) from servergroup 'Banco del TS'(id:32)
2016-10-24 17:57:54.708472|INFO    |VirtualServer |1  |permission 'i_group_needed_member_add_power'(id:164) with values (value:75, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Banco del TS'(id:32)
2016-10-24 18:00:06.869031|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:1807390418, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Banco del TS'(id:32)
2016-10-24 18:00:23.179964|INFO    |VirtualServer |1  |client (id:9) was added to servergroup 'Banco del TS'(id:32) by client 'Igna'(id:2)
2016-10-24 18:02:49.226317|INFO    |VirtualServer |1  |client (id:9) was removed from servergroup 'Salty'(id:26) by client 'Igna'(id:2)
2016-10-24 18:04:00.359386|INFO    |VirtualServer |1  |client (id:6) was removed from servergroup 'Normie'(id:7) by client 'Igna'(id:2)
2016-10-24 18:08:59.949521|INFO    |VirtualServer |1  |servergroup 'Down'(id:20) was renamed to 'Especial' by 'Igna'(id:2)
2016-10-24 18:10:29.768659|INFO    |VirtualServer |1  |servergroup 'Banco del TS'(id:32) was renamed to 'Banco del T$' by 'Igna'(id:2)
2016-10-24 18:40:32.651778|INFO    |VirtualServer |1  |permission 'b_channel_modify_name'(id:110) with values (value:1, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Normie'(id:7)
2016-10-24 18:40:36.039972|INFO    |VirtualServer |1  |permission 'b_channel_modify_name'(id:110) with values (value:1, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Autista'(id:27)
