2016-11-03 10:02:33.942843|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2016-11-03 17:22:23.289227|INFO    |PktHandler    |1  |Dropping client 2 because of ping timeout 19 0 0
2016-11-03 20:42:25.120693|INFO    |VirtualServer |1  |client (id:5) was added to servergroup 'Juanismo'(id:28) by client 'Igna'(id:2)
2016-11-03 20:42:33.463170|INFO    |VirtualServer |1  |client (id:5) was removed from servergroup 'Juanismo'(id:28) by client 'SKT OnePunchLee'(id:5)
2016-11-03 23:20:27.272041|INFO    |VirtualServer |1  |client (id:14) was added to servergroup 'Netdecker'(id:33) by client 'SKT OnePunchLee'(id:5)
2016-11-03 23:20:32.547343|INFO    |VirtualServer |1  |client (id:14) was removed from servergroup 'Netdecker'(id:33) by client 'SKT OnePunchLee'(id:5)
2016-11-03 23:20:38.638691|INFO    |VirtualServer |1  |client (id:14) was added to servergroup 'Inverbe'(id:35) by client 'SKT OnePunchLee'(id:5)
2016-11-03 23:20:50.222354|INFO    |VirtualServer |1  |client (id:14) was removed from servergroup 'Inverbe'(id:35) by client '[Revolucion] Nacho'(id:14)
2016-11-03 23:21:06.680295|INFO    |VirtualServer |1  |servergroup 'Es un payaso este tipo'(id:38) was added by 'SKT OnePunchLee'(id:5)
2016-11-03 23:21:06.820303|INFO    |VirtualServer |1  |permission 'i_group_auto_update_type'(id:146) with values (value:30, negated:0, skipchannel:0) was added by 'SKT OnePunchLee'(id:5) to servergroup 'Es un payaso este tipo'(id:38)
2016-11-03 23:21:06.820303|INFO    |VirtualServer |1  |permission 'b_virtualserver_token_use'(id:38) with values (value:1, negated:0, skipchannel:0) was added by 'SKT OnePunchLee'(id:5) to servergroup 'Es un payaso este tipo'(id:38)
2016-11-03 23:21:06.822303|INFO    |VirtualServer |1  |permission 'i_client_poke_power'(id:221) with values (value:50, negated:0, skipchannel:0) was added by 'SKT OnePunchLee'(id:5) to servergroup 'Es un payaso este tipo'(id:38)
2016-11-03 23:21:06.822303|INFO    |VirtualServer |1  |permission 'i_client_max_clones_uid'(id:173) with values (value:2, negated:0, skipchannel:0) was added by 'SKT OnePunchLee'(id:5) to servergroup 'Es un payaso este tipo'(id:38)
2016-11-03 23:21:06.822303|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_view'(id:190) with values (value:1, negated:0, skipchannel:0) was added by 'SKT OnePunchLee'(id:5) to servergroup 'Es un payaso este tipo'(id:38)
2016-11-03 23:21:06.823303|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_own'(id:191) with values (value:1, negated:0, skipchannel:0) was added by 'SKT OnePunchLee'(id:5) to servergroup 'Es un payaso este tipo'(id:38)
