2016-10-24 11:26:34.965507|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2016-10-24 11:27:18.171979|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_group_member_add_power'(id:32931) with values (value:75, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Server Admin'(id:6)
2016-10-24 11:27:19.696066|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_group_needed_member_add_power'(id:32932) with values (value:75, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Server Admin'(id:6)
2016-10-24 11:27:21.784185|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_group_member_remove_power'(id:32933) with values (value:75, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Server Admin'(id:6)
2016-10-24 11:29:09.048320|INFO    |VirtualServer |1  |servergroup 'Super Server Admin'(id:30) was added by 'Igna'(id:2)
2016-10-24 11:29:35.899856|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:2, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Server Admin'(id:6)
2016-10-24 11:29:41.019149|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:3, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Autista'(id:27)
2016-10-24 11:29:52.849826|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:4, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Normie'(id:7)
2016-10-24 11:30:05.118527|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:1, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:30)
2016-10-24 11:31:11.543327|INFO    |VirtualServer |1  |servergroup 'Super Server Admin'(id:30) was deleted by 'Igna'(id:2)
2016-10-24 11:31:54.171765|INFO    |VirtualServer |1  |servergroup 'Server Admin'(id:6) was copied by 'Igna'(id:2) to 'Super Server Admin'(id:31)
2016-10-24 11:32:13.021843|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:1, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
2016-10-24 11:32:55.495272|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:100, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
2016-10-24 11:33:25.798006|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_virtualserver_info_view'(id:32791) with values (value:100, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
2016-10-24 11:33:26.865067|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_virtualserver_connectioninfo_view'(id:32792) with values (value:100, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
2016-10-24 11:33:27.864124|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_virtualserver_channel_list'(id:32793) with values (value:100, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
2016-10-24 11:33:29.021190|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_virtualserver_channel_search'(id:32794) with values (value:100, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
2016-10-24 11:33:29.911241|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_virtualserver_client_list'(id:32795) with values (value:100, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
2016-10-24 11:33:30.814293|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_virtualserver_client_search'(id:32796) with values (value:100, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
2016-10-24 11:33:31.803349|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_virtualserver_client_dblist'(id:32797) with values (value:100, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
2016-10-24 11:33:32.953415|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_virtualserver_client_dbsearch'(id:32798) with values (value:100, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
2016-10-24 11:33:33.844466|INFO    |VirtualServer |1  |permission 'i_needed_modify_power_virtualserver_client_dbinfo'(id:32799) with values (value:100, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Super Server Admin'(id:31)
