2016-11-02 10:26:12.730273|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2016-11-02 10:28:02.792568|INFO    |VirtualServer |1  |client 'Igna'(id:2) was added to channelgroup 'Homosensual'(id:8) by client 'Igna'(id:2) in channel 'Canal de Dictadores'(id:30)
2016-11-02 17:17:35.648055|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2016-11-02 20:32:06.572594|INFO    |PktHandler    |1  |Dropping client 8 because of ping timeout 19 0 0
2016-11-02 22:52:34.576648|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2016-11-02 22:54:00.870584|INFO    |PktHandler    |1  |Cleaning up connection because of 13 resends of COMMAND packet
2016-11-02 22:54:00.870584|INFO    |PktHandler    |1  |Dropping client 11 because of resend timeout
2016-11-02 22:57:27.295390|INFO    |PktHandler    |1  |Dropping client 12 because of ping timeout 19 0 0
2016-11-02 23:00:37.080245|INFO    |PktHandler    |1  |Dropping client 13 because of ping timeout 19 0 0
2016-11-03 01:13:38.169738|INFO    |VirtualServer |1  |client (id:8) was added to servergroup 'Frase del dia'(id:36) by client 'SKT OnePunchLee'(id:5)
2016-11-03 01:13:42.379978|INFO    |VirtualServer |1  |client (id:8) was removed from servergroup 'Frase del dia'(id:36) by client 'SKT OnePunchLee'(id:5)
2016-11-03 01:13:51.887522|INFO    |VirtualServer |1  |client (id:8) was added to servergroup 'Frase del dia'(id:36) by client 'SKT OnePunchLee'(id:5)
2016-11-03 01:15:04.178657|INFO    |VirtualServer |1  |client (id:8) was removed from servergroup 'Frase del dia'(id:36) by client 'SKT OnePunchLee'(id:5)
2016-11-03 02:20:49.845336|INFO    |PktHandler    |1  |Dropping client 5 because of ping timeout 19 0 0
2016-11-03 05:27:13.262991|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2016-11-03 07:07:25.965898|INFO    |VirtualServer |1  |client (id:7) was added to servergroup 'Frase del dia'(id:36) by client 'Black Rebellion'(id:7)
2016-11-03 07:07:31.395209|INFO    |VirtualServer |1  |client (id:7) was removed from servergroup 'Frase del dia'(id:36) by client 'Black Rebellion'(id:7)
2016-11-03 07:07:38.600621|INFO    |VirtualServer |1  |client (id:7) was removed from servergroup 'Boludo'(id:34) by client 'Black Rebellion'(id:7)
2016-11-03 07:07:48.691198|INFO    |VirtualServer |1  |client (id:7) was added to servergroup 'Boludo'(id:34) by client 'Black Rebellion'(id:7)
2016-11-03 07:34:28.632709|INFO    |VirtualServerBase|1  |stopped
