2016-10-27 13:30:06.718302|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2016-10-27 19:28:44.731062|INFO    |PktHandler    |1  |Dropping client 5 because of ping timeout 19 0 0
2016-10-27 21:06:46.122458|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2016-10-27 22:35:24.171633|INFO    |PktHandler    |1  |Dropping client 8 because of ping timeout 19 0 0
2016-10-27 22:53:58.358361|INFO    |PktHandler    |1  |Dropping client 2 because of ping timeout 19 0 0
2016-10-28 00:12:29.203806|INFO    |PktHandler    |1  |Dropping client 14 because of ping timeout 19 0 0
2016-10-28 00:55:31.413500|INFO    |VirtualServer |1  |client (id:5) was added to servergroup 'Battlerite'(id:23) by client 'SKT OnePunchLee'(id:5)
2016-10-28 01:35:31.197760|INFO    |PktHandler    |1  |Cleaning up connection because of 12 resends of COMMAND packet
2016-10-28 01:35:31.197760|INFO    |PktHandler    |1  |Dropping client 2 because of resend timeout
2016-10-28 01:38:35.531303|INFO    |PktHandler    |1  |Cleaning up connection because of 12 resends of COMMAND packet
2016-10-28 01:38:35.531303|INFO    |PktHandler    |1  |Dropping client 5 because of resend timeout
2016-10-28 01:39:13.083451|INFO    |VirtualServer |1  |client (id:11) was removed from servergroup 'Normie'(id:7) by client 'Igna'(id:2)
2016-10-28 01:39:17.214687|INFO    |VirtualServer |1  |client (id:11) was removed from servergroup 'SMB'(id:21) by client 'Igna'(id:2)
2016-10-28 01:46:04.361975|INFO    |PktHandler    |1  |Dropping client 7 because of ping timeout 19 0 0
2016-10-28 01:56:33.813977|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2016-10-28 03:23:38.746826|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2016-10-28 05:10:10.369406|INFO    |VirtualServer |1  |client (id:7) was added to servergroup 'Juanismo'(id:28) by client 'Nekrosis'(id:8)
2016-10-28 05:10:25.009244|INFO    |VirtualServer |1  |client (id:7) was removed from servergroup 'Juanismo'(id:28) by client 'Black Rebellion'(id:7)
2016-10-28 08:03:13.404282|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2016-10-28 18:04:41.361395|INFO    |VirtualServer |1  |client (id:6) was added to servergroup 'SMB'(id:21) by client 'rasals'(id:6)
2016-10-28 18:47:16.556544|INFO    |VirtualServer |1  |servergroup 'Netdecker'(id:33) was added by 'SKT OnePunchLee'(id:5)
2016-10-28 18:47:16.669550|INFO    |VirtualServer |1  |permission 'i_group_auto_update_type'(id:146) with values (value:30, negated:0, skipchannel:0) was added by 'SKT OnePunchLee'(id:5) to servergroup 'Netdecker'(id:33)
2016-10-28 18:47:16.669550|INFO    |VirtualServer |1  |permission 'b_virtualserver_token_use'(id:38) with values (value:1, negated:0, skipchannel:0) was added by 'SKT OnePunchLee'(id:5) to servergroup 'Netdecker'(id:33)
