2016-11-06 11:26:23.063049|INFO    |VirtualServer |1  |permission 'i_group_needed_member_remove_power'(id:166) was deleted by 'Igna'(id:2) from servergroup 'Debuff'(id:43)
2016-11-06 11:26:38.886954|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:20, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Debuff'(id:43)
2016-11-06 11:27:04.070394|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:10, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Debuff'(id:43)
2016-11-06 11:27:26.703689|INFO    |VirtualServer |1  |servergroup 'Debuff'(id:43) was renamed to '- - - Debuff - - -' by 'Igna'(id:2)
2016-11-06 11:27:50.304039|INFO    |VirtualServer |1  |servergroup '- - - Debuff - - -'(id:43) was copied by 'Igna'(id:2) to '- - - - - - - - - - -'(id:44)
2016-11-06 11:27:59.388558|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:11, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup '- - - - - - - - - - -'(id:44)
2016-11-06 11:28:10.634202|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:10, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Verborrea'(id:42)
2016-11-06 11:28:15.790497|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:11, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Verborrea'(id:42)
2016-11-06 11:28:25.851072|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:11, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Juanismo'(id:28)
2016-11-06 11:31:04.559150|INFO    |VirtualServer |1  |servergroup '- - - Debuff - - -'(id:43) was copied by 'Igna'(id:2) to '- - - - Buff - - - -'(id:45)
2016-11-06 11:31:22.397170|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:11, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup '- - - - Buff - - - -'(id:45)
2016-11-06 11:31:28.460517|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:13, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup '- - - - - - - - - - -'(id:44)
2016-11-06 11:31:37.132013|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:12, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'V.I.P'(id:36)
2016-11-06 11:32:59.134703|INFO    |VirtualServer |1  |servergroup '- - - - - - - - - - -'(id:44) was renamed to '- - - - Iconos - - - -' by 'Igna'(id:2)
2016-11-06 11:33:33.134648|INFO    |VirtualServer |1  |servergroup '- - - Debuff - - -'(id:43) was renamed to '- - - - - Debuff - - - -  -' by 'Igna'(id:2)
2016-11-06 11:34:05.178480|INFO    |VirtualServer |1  |servergroup '- - - - Buff - - - -'(id:45) was renamed to '- - - - - - Buff - - - - - - ' by 'Igna'(id:2)
2016-11-06 11:34:21.725427|INFO    |VirtualServer |1  |servergroup '- - - - Iconos - - - -'(id:44) was renamed to '- - - - - Iconos - - - - - - ' by 'Igna'(id:2)
2016-11-06 11:34:32.974070|INFO    |VirtualServer |1  |servergroup '- - - - - Debuff - - - -  -'(id:43) was renamed to '- - - - - Debuff - - - - - - ' by 'Igna'(id:2)
2016-11-06 11:35:00.122623|INFO    |VirtualServer |1  |servergroup '- - - - - Debuff - - - - - - '(id:43) was renamed to '- - - - - - Debuff - - - - - -' by 'Igna'(id:2)
2016-11-06 11:35:12.192313|INFO    |VirtualServer |1  |servergroup '- - - - - - Buff - - - - - - '(id:45) was renamed to '- - - - - - - Buff - - - - - -' by 'Igna'(id:2)
2016-11-06 11:35:21.033819|INFO    |VirtualServer |1  |servergroup '- - - - - Iconos - - - - - - '(id:44) was renamed to '- - - - - - Iconos - - - - - -' by 'Igna'(id:2)
2016-11-06 11:36:33.670974|INFO    |VirtualServer |1  |client (id:20) was removed from servergroup 'Verborrea'(id:42) by client 'asd'(id:20)
2016-11-06 11:39:28.687984|INFO    |VirtualServer |1  |client (id:2) was added to servergroup '- - - - - - Debuff - - - - - -'(id:43) by client 'Igna'(id:2)
2016-11-06 11:39:34.806334|INFO    |VirtualServer |1  |client (id:2) was removed from servergroup '- - - - - - Debuff - - - - - -'(id:43) by client 'Igna'(id:2)
2016-11-06 11:40:11.912456|INFO    |VirtualServer |1  |permission 'i_group_needed_member_add_power'(id:164) with values (value:100, negated:0, skipchannel:0) was added by 'Igna1'(id:19) to servergroup '- - - - - - Debuff - - - - - -'(id:43)
2016-11-06 11:40:16.158699|INFO    |VirtualServer |1  |permission 'i_group_needed_member_add_power'(id:164) with values (value:100, negated:0, skipchannel:0) was added by 'Igna1'(id:19) to servergroup '- - - - - - - Buff - - - - - -'(id:45)
2016-11-06 11:40:19.334881|INFO    |VirtualServer |1  |permission 'i_group_needed_member_add_power'(id:164) with values (value:100, negated:0, skipchannel:0) was added by 'Igna1'(id:19) to servergroup '- - - - - - Iconos - - - - - -'(id:44)
2016-11-06 11:47:18.104833|INFO    |VirtualServer |1  |permission 'i_group_needed_member_add_power'(id:164) with values (value:80, negated:0, skipchannel:0) was added by 'Igna1'(id:19) to servergroup 'V.I.P'(id:36)
2016-11-06 11:47:23.253128|INFO    |VirtualServer |1  |permission 'i_group_needed_member_remove_power'(id:166) with values (value:80, negated:0, skipchannel:0) was added by 'Igna1'(id:19) to servergroup 'V.I.P'(id:36)
2016-11-06 11:49:08.388141|INFO    |VirtualServer |1  |client (id:19) was added to servergroup 'V.I.P'(id:36) by client 'Igna1'(id:19)
2016-11-06 11:49:37.911830|INFO    |VirtualServer |1  |client (id:2) was added to servergroup 'V.I.P'(id:36) by client 'Igna1'(id:19)
