2016-10-30 20:09:45.593104|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2016-10-30 20:41:54.638439|INFO    |VirtualServer |1  |client (id:6) was added to servergroup 'Battlerite'(id:23) by client 'rasals'(id:6)
2016-10-30 22:43:39.587258|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2016-10-30 22:56:26.527124|INFO    |VirtualServer |1  |client (id:12) was added to servergroup 'Normie'(id:7) by client 'Igna'(id:2)
2016-10-30 23:53:02.422359|INFO    |PktHandler    |1  |Dropping client 2 because of ping timeout 19 0 0
2016-10-31 00:11:42.387417|INFO    |VirtualServer |1  |client (id:7) was added to servergroup 'Salty'(id:26) by client '[Revolucion] Nacho'(id:14)
2016-10-31 00:51:35.945321|INFO    |PktHandler    |1  |Dropping client 11 because of ping timeout 19 0 0
2016-10-31 00:52:23.391034|INFO    |VirtualServer |1  |client (id:6) was added to servergroup 'CSGO'(id:14) by client 'rasals'(id:6)
2016-10-31 05:33:00.466060|INFO    |PktHandler    |1  |Dropping client 14 because of ping timeout 19 0 0
2016-10-31 20:49:49.340388|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2016-10-31 22:24:24.574992|INFO    |VirtualServer |1  |servergroup 'Normie'(id:7) was copied by 'Igna'(id:2) to 'Boludo'(id:34)
2016-10-31 22:24:49.020391|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:5, negated:0, skipchannel:0) was added by 'Igna'(id:2) to servergroup 'Boludo'(id:34)
2016-10-31 22:25:09.198545|INFO    |PktHandler    |1  |Dropping client 9 because of ping timeout 19 0 0
2016-10-31 22:32:27.210598|INFO    |VirtualServer |1  |permission 'b_virtualserver_connectioninfo_view'(id:24) was deleted by 'Igna'(id:2) from servergroup 'Netdecker'(id:33)
2016-10-31 22:32:27.211598|INFO    |VirtualServer |1  |permission 'b_virtualserver_token_use'(id:38) was deleted by 'Igna'(id:2) from servergroup 'Netdecker'(id:33)
2016-10-31 22:32:33.475956|INFO    |VirtualServer |1  |permission 'b_channel_create_child'(id:82) was deleted by 'Igna'(id:2) from servergroup 'Netdecker'(id:33)
2016-10-31 22:32:33.476956|INFO    |VirtualServer |1  |permission 'b_channel_create_semi_permanent'(id:84) was deleted by 'Igna'(id:2) from servergroup 'Netdecker'(id:33)
2016-10-31 22:32:33.477956|INFO    |VirtualServer |1  |permission 'b_channel_create_temporary'(id:85) was deleted by 'Igna'(id:2) from servergroup 'Netdecker'(id:33)
